a,b,answer
68,89,40
60,23,49
94,20,92
15,6,51
44,70,81
82,87,50
50,25,2
6,22,62
51,8,67
39,3,13
13,40,27
87,45,86
21,30,88
93,72,70
80,14,75
89,48,16
31,56,30
16,21,10
13,80,62
24,77,57
69,14,95
50,53,65
50,15,68
50,43,35
71,42,4
85,60,58
47,48,3
41,18,40
27,22,85
50,68,15
96,17,57
30,55,27
1,65,3
10,75,26
12,43,86
67,76,43
0,49,0
85,27,75
48,76,67
68,73,78
89,87,59
42,25,56
53,31,33
4,2,2
56,9,17
49,52,14
80,27,82
42,71,73
28,9,57
24,66,18
86,21,78
33,74,7
25,22,32
52,52,1
87,90,43
42,28,50
59,48,76
33,38,80
25,92,92
19,64,20
10,53,13
52,70,34
91,68,37
22,84,58
7,39,35
88,40,41
88,82,20
62,93,33
45,85,69
81,42,92
40,37,64
14,58,27
48,85,93
29,26,72
53,13,19
82,41,2
94,91,49
54,13,34
8,58,57
59,84,85
45,70,63
44,95,75
52,2,26
86,27,93
36,41,34
59,37,75
74,89,15
84,64,68
32,11,47
71,49,45
53,87,82
29,95,34
72,76,52
57,74,65
9,96,88
66,34,59
93,91,33
7,87,9
93,71,30
87,9,42
40,69,54
49,12,93
26,85,14
28,68,86
23,75,21
82,88,34
60,3,20
5,27,90
27,70,96
0,80,0
88,27,32
17,26,79
80,35,30
6,39,30
79,14,68
53,9,49
81,23,71
38,23,86
95,22,44
81,62,6
24,96,73
47,38,14
30,18,34
38,53,30
76,4,19
35,10,52
24,6,4
12,5,80
87,64,15
19,27,51
44,5,67
30,16,14
32,46,26
37,82,4
22,44,49
46,64,28
22,14,57
86,4,70
3,58,82
38,41,79
25,24,94
51,79,78
16,54,47
14,95,90
78,79,28
15,21,70
67,85,51
43,25,25
76,88,67
66,79,61
71,3,56
24,38,67
43,84,34
10,78,25
26,11,20
76,5,54
43,88,6
16,95,89
94,56,19
94,62,86
77,32,60
86,78,21
84,33,29
90,92,79
86,32,33
16,14,15
27,74,41
24,7,45
75,69,77
35,69,23
47,30,63
84,16,78
40,81,46
36,8,53
57,87,4
41,92,50
22,48,53
45,13,93
50,54,62
65,27,6
78,12,55
29,68,96
94,89,61
64,5,71
21,78,4
75,23,37
88,93,75
49,3,81
20,25,59
57,8,92
5,96,92
45,5,9
31,32,4
27,46,28
85,83,84
54,77,7
39,93,63
86,60,37
95,40,63
30,92,91
35,43,73
3,61,8
58,43,60
95,47,66
35,56,37
46,3,80
83,22,17
74,69,32
10,48,77
95,89,73
63,14,53
43,64,81
49,64,72
67,43,76
78,54,23
64,63,78
73,6,93
84,89,38
89,82,7
87,37,81
39,13,3
81,37,52
69,66,76
55,70,77
43,58,76
63,76,94
45,88,92
1,52,28
86,86,1
89,50,27
63,9,7
86,7,40
16,65,48
32,91,27
64,82,41
58,69,88
92,91,17
64,45,51
24,25,32
0,92,0
92,18,59
86,63,26
86,82,46
95,61,27
91,72,8
87,55,88
71,93,55
71,23,79
5,94,63
37,76,86
4,12,65
42,53,74
6,26,45
54,44,85
35,3,44
2,31,47
36,50,24
77,6,29
65,11,50
18,96,79
44,36,12
70,30,67
80,95,57
46,57,91
45,18,51
79,57,15
83,88,77
50,9,81
83,8,71
1,66,25
38,68,89
45,19,33
72,60,40
26,7,73
9,21,42
56,69,95
24,82,76
94,53,64
28,3,74
74,91,20
89,56,83
73,10,17
7,91,15
61,77,60
18,90,39
68,76,6
4,52,15
31,71,10
86,12,88
23,30,4
56,51,3
68,26,25
11,81,66
62,86,12
6,47,93
73,95,12
71,86,20
35,78,39
68,59,85
23,13,54
73,11,86
60,89,41
94,2,47
21,63,65
29,53,28
64,33,96
74,24,92
48,84,56
49,16,94
1,93,24
51,73,10
62,71,20
81,80,58
63,69,22
14,88,20
22,23,60
47,17,37
23,62,52
3,2,50
61,80,82
91,23,63
40,78,3
66,84,77
63,39,24
60,28,16
10,88,42
15,49,30
3,57,46
59,90,47
75,57,83
56,49,15
59,21,49
65,73,66
62,63,21
61,82,80
67,29,9
31,22,94
87,96,10
77,41,35
48,81,94
56,15,49
57,45,53
75,5,15
24,78,60
17,38,3
90,46,61
35,9,47
3,10,10
20,41,62
7,8,13
46,41,65
60,73,46
92,2,46
79,58,90
58,94,13
33,82,56
1,69,45
66,82,15
75,65,31
77,83,43
51,70,52
92,31,28
46,8,30
77,74,81
39,53,41
5,41,64
93,21,46
58,34,93
27,28,46
14,75,17
33,41,15
10,36,38
74,78,88
47,23,40
63,89,77
74,80,47
48,80,20
68,19,24
90,36,51
76,3,90
83,70,58
67,55,70
81,71,23
76,49,55
87,21,18
35,95,31
53,67,92
5,35,14
19,48,59
63,24,39
62,84,40
10,62,69
76,90,3
60,64,7
50,62,54
24,93,91
17,84,36
15,78,86
46,18,78
16,79,53
71,41,94
52,48,90
46,39,36
80,90,44
35,75,91
39,42,91
18,72,73
21,58,89
40,44,45
54,56,46
68,85,59
88,87,30
17,75,83
17,81,5
47,29,15
67,95,15
82,57,61
82,53,29
16,46,13
1,28,52
13,91,14
28,6,37
62,17,55
39,88,28
2,81,12
70,92,83
5,63,94
61,48,72
56,89,90
94,67,68
81,45,60
28,7,4
93,36,43
80,54,41
23,26,27
46,86,84
82,89,14
38,22,37
78,74,43
40,84,79
1,37,21
90,59,64
36,59,45
43,2,70
82,34,88
3,6,49
81,84,46
87,46,4
49,58,46
68,36,45
29,7,18
55,33,34
91,64,9
84,79,60
38,35,87
51,1,51
36,24,50
5,50,68
8,64,85
18,84,21
22,51,67
4,45,82
64,88,36
38,64,40
58,79,83
69,13,65
85,91,2
37,13,70
44,79,73
24,91,93
49,77,80
75,37,23
85,28,55
9,7,29
73,87,80
68,30,54
25,2,61
87,76,79
61,66,70
40,87,93
58,81,57
84,15,25
3,56,78
55,55,1
72,31,43
53,82,87
56,81,45
13,33,68
60,86,21
33,1,33
13,31,63
30,15,2
37,12,92
74,90,31
91,31,53
75,9,73
15,20,25
62,68,38
15,79,80
48,49,96
36,94,85
94,28,38
71,85,83
93,41,7
38,11,74
93,73,81
53,90,34
27,65,81
13,28,94
12,77,77
88,32,27
49,4,85
60,59,75
2,21,74
87,94,68
42,93,38
75,55,19
7,12,41
6,24,73
32,13,92
94,6,48
81,19,40
8,63,34
64,92,26
60,65,83
68,84,47
29,32,10
78,71,94
67,79,34
87,59,36
54,83,10
29,74,62
70,95,62
78,60,11
70,22,12
55,68,65
82,28,93
30,72,57
28,10,61
3,59,28
77,59,72
23,71,70
39,24,38
3,35,86
77,70,69
21,42,49
93,57,68
45,58,66
60,76,11
52,23,36
38,46,43
86,95,54
46,82,81
30,2,15
36,56,63
5,25,39
31,30,56
11,67,74
49,46,58
24,62,88
75,35,16
75,93,54
23,36,68
50,21,7
10,57,24
16,51,84
22,82,5
61,10,74
42,45,85
65,16,95
44,63,90
30,23,73
31,11,91
24,2,12
56,70,59
11,34,26
70,60,82
16,4,4
80,18,26
62,91,22
16,31,85
17,61,13
32,92,13
24,63,5
79,34,28
22,18,12
53,51,60
92,23,4
61,39,14
36,2,18
6,10,20
38,27,5
7,82,6
0,16,0
56,52,16
49,63,87
5,65,15
23,24,5
34,30,27
52,26,2
69,45,8
36,47,73
94,14,76
65,13,5
85,16,72
59,39,4
49,60,38
64,57,76
42,19,89
70,38,58
20,14,43
5,51,2
81,11,25
42,70,20
32,89,93
80,71,79
72,57,37
86,14,20
84,5,75
42,30,79
28,16,26
11,13,68
66,3,22
78,39,2
38,33,57
28,87,36
31,20,84
53,41,77
73,23,58
3,92,77
48,26,69
35,28,74
88,72,12
77,46,8
54,12,53
86,90,57
21,92,54
2,26,15
70,76,29
88,91,50
25,34,15
41,94,51
91,22,35
89,23,84
62,28,23
23,16,56
45,91,41
69,70,19
40,10,4
79,87,60
5,10,49
0,20,0
63,54,82
50,48,94
87,79,76
70,24,11
82,13,66
46,53,21
63,11,41
43,36,47
82,19,86
19,8,63
8,44,9
90,75,40
24,71,14
92,22,13
20,40,49
87,6,63
94,24,12
18,81,11
7,24,69
82,1,82
60,17,72
88,96,9
7,41,12
39,8,17
34,11,56
93,58,20
71,90,73
62,52,87
31,15,15
89,62,3
41,17,88
34,72,84
94,50,95
71,39,64
71,18,74
79,89,75
8,16,49
89,11,61
27,34,55
76,23,75
38,47,7
27,35,95
60,95,67
56,24,67
71,91,69
12,63,51
92,92,1
22,40,83
72,45,21
29,85,38
64,89,89
57,75,90
50,40,74
64,75,50
64,22,47
95,37,55
65,71,46
96,32,3
21,6,52
8,61,86
89,68,17
63,19,85
39,59,73
58,42,6
83,27,39
3,68,30
59,20,66
39,73,59
12,16,25
49,72,64
12,12,1
66,9,72
23,35,45
62,16,16
12,89,47
29,88,83
73,12,95
77,65,37
65,44,61
33,26,5
35,25,79
13,1,13
55,21,95
69,42,64
40,39,6
16,44,18
90,19,66
85,71,90
83,39,27
86,3,61
49,86,22
61,76,71
18,22,89
49,55,15
69,28,96
9,23,51
27,44,91
36,39,83
26,51,88
9,29,7
15,67,48
72,24,3
82,91,51
68,4,17
93,28,83
67,71,31
65,91,70
20,86,7
42,55,96
5,17,6
51,77,12
23,3,40
2,58,87
4,27,72
77,33,67
63,94,76
80,81,92
38,25,83
68,90,18
12,67,19
55,20,27
22,9,24
50,16,88
9,71,78
30,84,35
34,26,61
96,89,85
72,4,18
52,50,67
51,89,30
88,63,83
5,49,10
84,26,48
84,68,64
14,91,30
20,84,88
93,53,53
12,82,38
95,91,65
3,32,88
88,62,64
39,12,76
82,83,8
23,34,72
3,54,27
20,11,90
58,58,1
47,22,33
40,89,92
10,86,52
69,21,31
74,95,60
15,14,8
56,62,76
16,32,49
90,37,47
20,83,54
85,75,27
48,33,72
42,22,46
0,26,0
11,96,86
52,10,44
73,77,40
15,35,42
92,1,92
86,75,49
15,71,33
77,92,4
48,71,28
31,52,92
49,54,53
85,5,17
64,20,42
35,84,57
81,85,66
65,61,44
59,32,17
73,42,41
71,72,67
81,69,56
59,11,23
45,15,3
16,61,75
71,81,38
91,7,13
47,47,1
74,32,69
7,23,72
87,28,62
82,50,87
34,28,22
52,76,16
50,72,95
27,56,23
80,72,55
55,94,14
77,9,84
82,46,6
91,10,77
47,41,39
78,30,22
80,83,22
17,32,46
89,54,25
48,60,59
29,36,52
6,28,21
64,47,22
56,94,46
43,87,83
88,36,24
95,74,76
82,6,46
86,28,10
22,29,71
62,4,64
67,4,41
19,76,73
66,80,76
14,9,77
39,67,86
96,96,1
34,82,43
50,67,63
69,2,83
44,64,31
16,70,3
51,88,59
12,94,93
22,56,87
73,37,78
95,33,94
40,27,41
57,83,86
77,35,41
61,52,59
40,5,8
34,36,71
94,42,90
64,62,73
63,87,81
93,78,87
22,66,65
42,96,55
18,5,23
29,78,24
29,18,7
96,54,88
16,28,56
41,13,33
15,59,43
35,22,6
23,70,71
31,83,74
92,45,43
25,84,13
14,64,76
11,2,54
33,40,76
58,46,35
91,83,42
78,86,37
45,42,8
44,94,50
38,19,2
73,24,96
4,5,59
70,87,90
14,1,14
19,38,49
21,51,86
6,7,84
33,91,43
7,93,71
87,71,75
3,60,34
61,51,5
44,75,95
34,78,85
48,1,48
62,74,69
53,77,41
59,91,71
41,9,80
67,92,6
26,91,28
82,3,92
46,96,51
48,91,89
41,66,55
33,18,18
1,72,31
62,18,25
11,25,47
57,10,93
50,78,28
61,1,61
3,28,59
47,15,29
42,95,76
38,76,49
24,85,95
1,35,61
2,44,75
62,1,62
91,14,55
68,18,90
26,32,19
36,45,59
5,15,65
72,9,8
70,20,52
73,40,77
79,33,70
47,80,60
83,74,47
16,81,96
58,51,62
44,86,93
27,89,33
66,44,50
78,35,5
14,73,56
83,50,23
79,24,72
68,25,26
44,88,49
0,91,0
26,93,42
63,16,10
51,69,64
60,52,31
92,40,12
42,51,75
9,73,36
5,7,70
76,67,88
21,62,77
1,80,57
8,27,47
34,37,35
13,84,96
91,44,66
77,96,20
53,46,37
59,80,65
31,13,77
25,64,11
12,47,89
36,20,60
10,31,41
75,49,53
48,89,91
18,95,88
77,10,95
32,67,83
57,9,71
90,20,53
96,36,35
63,20,8
87,43,90
13,41,50
91,11,70
13,79,37
60,90,33
9,26,19
28,38,62
84,59,8
16,50,43
20,43,14
46,88,38
51,50,34
77,50,19
58,57,81
96,6,16
55,56,72
56,90,89
62,29,59
33,2,65
40,23,65
54,9,6
61,41,63
81,94,70
69,19,70
83,81,13
46,12,20
91,42,83
47,91,73
93,89,49
61,40,67
72,47,49
72,80,30
83,15,12
40,34,24
64,18,79
73,52,7
27,3,9
62,94,44
48,39,46
27,69,51
43,5,28
40,74,32
61,43,33
21,77,62
36,36,1
7,5,79
69,53,80
87,69,35
5,3,34
96,41,26
47,56,58
31,51,90
85,90,71
23,58,79
9,9,1
95,90,28
69,75,63
78,3,26
27,83,5
37,84,27
55,76,2
40,53,52
7,80,11
82,56,95
11,36,3
87,33,82
0,33,0
14,62,19
48,95,73
85,2,91
43,83,87
88,84,38
48,11,22
12,55,69
41,16,45
69,83,2
92,7,27
10,44,84
76,6,45
36,10,23
68,35,74
13,54,20
60,87,91
86,57,90
55,41,25
34,58,24
60,60,1
91,67,39
18,94,91
77,19,50
90,64,59
7,26,4
39,77,32
28,35,59
80,31,37
44,29,45
37,62,71
0,54,0
39,38,24
63,84,25
49,62,18
65,43,94
3,93,72
9,78,71
1,25,66
3,81,18
24,75,43
65,14,67
24,39,23
96,43,9
3,21,14
48,79,62
17,50,76
53,47,94
6,72,89
83,13,81
22,7,17
42,88,60
82,4,69
63,85,19
63,10,16
18,39,90
54,4,62
82,32,45
24,27,44
28,77,18
58,29,2
11,63,71
31,79,36
59,13,12
19,84,6
93,1,93
24,8,3
31,29,78
71,67,72
49,84,41
64,4,16
48,18,35
94,61,89
50,59,14
34,4,57
86,24,44
59,82,9
62,58,78
71,40,43
84,12,7
72,59,90
68,37,70
95,9,86
43,53,85
56,2,28
46,35,90
45,89,55
73,49,49
5,45,54
87,40,24
63,15,43
81,66,85
61,81,75
54,50,36
39,28,88
48,48,1
69,69,1
32,69,82
7,15,91
88,54,16
8,73,32
48,65,47
50,44,32
60,45,66
34,1,34
73,35,88
82,64,71
17,60,31
6,46,17
32,34,58
2,88,86
2,46,38
41,26,65
20,95,87
6,3,2
86,48,22
42,54,87
53,34,90
26,25,67
49,79,35
81,10,76
58,18,14
79,15,57
9,62,33
36,53,8
42,72,41
8,20,78
23,88,19
84,10,86
56,92,47
62,75,6
61,50,73
16,69,41
69,79,77
4,38,92
68,94,42
74,66,7
66,29,19
26,52,49
8,9,44
2,19,92
8,35,3
95,55,37
88,10,67
50,90,76
76,85,26
41,3,46
76,13,73
41,58,86
72,86,64
72,37,57
83,67,91
12,71,7
0,32,0
96,29,10
73,57,20
76,84,24
24,26,83
79,36,48
1,1,1
23,96,74
70,81,32
31,47,44
69,3,23
54,8,31
50,64,22
32,70,6
25,56,68
1,9,54
13,12,90
75,71,68
66,83,23
77,82,66
9,56,40
62,21,63
34,35,37
78,77,64
35,35,1
18,51,46
9,83,34
64,48,66
81,15,83
7,42,81
63,78,12
5,88,21
44,49,88
69,61,87
84,29,33
37,78,44
65,39,34
47,61,93
16,75,61
36,18,2
34,19,12
54,65,65
82,40,36
7,31,19
4,11,18
6,29,37
9,52,58
19,13,91
47,34,67
11,1,11
96,67,55
3,30,68
42,89,19
4,68,40
45,46,79
73,34,5
66,63,38
89,77,78
7,61,51
55,39,81
40,36,55
79,94,6
91,38,56
76,30,9
41,45,16
79,32,54
21,12,26
45,43,80
13,96,84
0,77,0
22,24,9
90,45,2
24,59,30
35,1,35
75,83,57
6,15,78
63,3,21
50,65,53
12,53,35
2,70,61
45,26,95
83,12,15
66,25,88
57,65,74
4,83,69
96,2,48
71,6,28
64,38,17
0,1,0
25,4,79
49,28,26
21,81,29
56,61,20
46,30,8
48,94,81
56,91,23
40,4,10
44,93,86
76,94,7
16,19,57
71,29,66
31,42,40
47,10,92
51,2,74
79,85,50
72,69,39
7,10,88
38,39,93
29,67,54
3,79,16
62,51,83
63,63,1
66,10,26
73,83,71
80,11,69
86,10,28
41,63,53
75,92,82
35,85,86
72,49,47
3,82,58
18,56,80
76,80,64
15,91,46
59,28,61
57,31,30
19,37,11
71,61,60
94,19,56
84,57,27
34,32,92
20,57,48
37,58,9
38,5,27
87,31,56
76,58,8
15,7,16
71,96,26
2,75,44
12,72,81
92,13,22
88,71,19
54,45,40
2,41,45
88,79,49
58,4,63
44,43,89
68,66,51
40,45,44
84,78,16
4,90,41
3,36,89
45,30,50
30,89,69
43,17,71
8,18,22
62,14,46
3,4,25
7,36,46
8,85,64
93,22,88
31,33,95
21,50,14
47,94,49
0,71,0
27,81,65
77,18,42
65,66,73
5,32,82
5,13,75
65,52,74
89,63,63
80,51,32
59,7,50
4,80,34
55,64,63
37,68,79
72,10,46
79,5,74
49,7,7
62,56,60
95,93,49
68,53,69
11,71,63
38,10,62
29,38,85
96,12,8
58,87,33
18,77,67
56,88,80
10,55,9
37,15,93
54,39,76
76,21,96
64,78,63
70,73,86
38,28,36
63,59,6
71,28,6
89,85,33
80,9,52
53,55,38
30,46,85
50,52,42
82,42,62
64,85,27
81,25,11
90,7,96
58,72,52
0,65,0
41,42,31
26,60,36
77,89,51
85,63,46
77,58,3
70,84,17
94,36,8
76,72,28
76,45,6
50,51,20
74,48,46
79,78,52
30,40,25
56,5,50
47,37,17
78,44,15
25,23,77
50,70,70
43,91,9
71,76,89
16,57,19
95,92,78
49,24,95
68,52,61
59,10,35
91,8,72
66,86,91
83,10,18
88,20,82
21,75,74
77,2,87
57,77,2
49,61,66
48,72,33
88,3,94
88,83,63
38,72,14
42,50,28
3,72,93
60,24,51
92,11,26
90,58,35
66,61,79
26,8,76
2,38,46
35,52,10
43,29,55
47,65,44
90,44,77
84,84,1
26,3,41
25,45,76
23,12,10
24,70,53
74,13,43
4,94,31
5,43,52
33,11,3
94,63,60
19,9,56
6,34,23
45,20,75
44,58,71
62,92,7
21,68,16
96,19,51
21,22,23
93,40,29
10,16,37
90,88,87
81,5,55
82,68,44
80,26,18
83,92,61
8,34,63
91,87,20
41,79,57
31,82,82
17,37,66
57,37,33
73,51,68
87,48,20
23,49,46
17,76,50
48,5,29
74,30,93
21,82,18
54,32,32
94,4,72
23,94,57
80,86,28
56,30,73
27,82,37
5,28,66
5,48,87
28,25,5
35,29,38
42,39,16
94,92,20
21,2,59
26,43,57
29,14,9
59,85,84
18,3,6
72,2,36
76,93,78
12,88,31
77,1,77
20,50,78
33,6,54
5,69,31
0,60,0
61,83,58
36,89,44
26,19,32
4,6,33
45,28,12
39,23,27
60,8,56
60,66,45
36,54,33
24,64,61
23,9,78
45,82,94
50,84,26
64,8,8
20,77,96
81,68,34
19,75,30
77,95,10
13,34,66
1,46,19
23,77,91
24,46,68
83,72,51
32,90,37
13,26,49
92,69,66
2,33,3
3,64,44
24,73,96
2,1,2
54,27,2
24,57,77
0,63,0
32,39,63
11,51,82
69,78,27
27,85,22
12,38,82
12,96,85
24,95,85
37,24,46
93,15,45
51,76,53
20,28,70
57,68,85
9,59,84
27,36,25
87,38,61
38,83,25
3,12,73
68,43,67
34,59,91
50,27,27
66,95,64
62,88,47
62,7,92
93,86,18
95,48,4
56,47,92
17,62,30
53,27,81
65,29,29
9,64,35
62,19,39
32,78,80
96,95,49
15,70,21
35,23,69
5,58,72
52,87,53
92,55,44
42,47,69
64,16,4
29,13,47
78,90,72
42,17,31
45,55,89
74,58,18
53,79,24
51,32,41
90,52,95
47,3,48
86,58,55
73,46,29
55,30,18
94,9,32
33,9,36
73,22,43
93,61,54
96,35,36
6,32,79
4,55,23
35,94,53
67,10,94
40,29,85
31,3,75
83,84,16
74,14,33
50,7,21
56,53,34
70,54,48
74,63,72
41,95,28
57,15,62
32,16,2
23,90,66
5,30,81
29,49,58
21,40,66
3,96,94
30,30,1
19,55,85
32,23,52
53,20,56
81,41,28
52,12,69
51,17,3
46,80,3
36,86,32
74,22,21
59,53,67
52,84,93
40,86,14
83,71,8
67,88,68
91,34,74
49,94,16
10,38,36
43,85,53
15,63,88
16,66,12
57,82,35
96,86,53
57,56,27
77,5,93
30,13,62
58,47,26
95,68,77
10,73,40
37,26,35
21,48,55
27,15,60
78,65,40
45,40,86
55,43,87
4,88,75
1,36,62
0,72,0
89,94,35
18,23,5
58,6,42
15,8,14
3,19,41
43,27,95
26,44,5
61,32,11
30,60,49
51,96,46
19,19,1
0,81,0
57,93,10
45,34,27
65,41,56
80,60,66
47,87,5
90,65,76
18,27,33
86,20,14
91,27,86
53,26,58
0,79,0
7,74,25
69,58,43
96,81,91
83,44,57
67,74,73
50,49,3
10,18,76
84,28,3
14,5,61
49,18,62
82,49,67
76,7,94
11,84,29
36,7,19
67,3,87
12,51,63
89,2,93
89,65,73
93,17,34
31,81,89
85,55,28
7,66,78
79,55,42
50,58,41
43,8,66
87,32,30
49,75,11
42,91,90
38,49,76
4,66,3
33,32,95
77,7,11
33,86,94
81,88,88
51,61,39
80,78,6
72,92,5
5,8,37
33,90,23
28,50,51
6,85,48
59,62,87
72,7,38
8,7,15
32,58,34
5,18,38
75,18,85
39,27,23
87,50,58
69,43,58
56,86,39
32,84,5
96,33,47
95,60,42
73,7,52
36,12,3
70,43,49
75,78,42
6,78,15
53,12,61
20,38,72
18,28,63
61,38,45
95,12,16
79,50,85
19,49,38
46,19,79
19,5,62
89,1,89
44,45,29
43,40,52
39,2,68
48,8,6
85,61,65
9,54,81
20,37,32
38,55,73
43,94,18
79,35,66
51,47,63
1,75,22
36,75,16
70,37,15
76,69,25
51,44,21
20,44,71
65,8,93
14,54,29
77,17,73
12,92,17
37,80,72
46,83,66
53,74,23
77,86,90
17,52,88
4,78,10
92,35,83
14,89,71
53,22,95
65,35,85
28,22,63
89,18,75
5,16,67
1,60,76
71,47,82
29,8,40
86,36,94
89,57,39
3,1,3
82,95,56
79,37,10
21,74,75
25,9,89
41,57,79
95,75,53
73,14,26
74,17,50
87,47,39
52,35,68
22,68,26
47,18,8
